job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Analyst-Data Visualization,"Publishing, Artificial Intelligence, SSRS, Consulting, Analytics, IT Skills, Cloud, Architecture","Publishing, Artificial Intelligence, SSRS, Consulting, Analytics, IT Skills, Cloud, Architecture",Gurgaon/Gurugram,3-5,Data Science,Naukri
Analyst-Data Science,"Publishing, Consulting, Analytics, SQL, Python, IT Skills, Data Science, Artificial Intelligence","Publishing, Consulting, Analytics, SQL, Python, IT Skills, Data Science, Artificial Intelligence",Mumbai,3-5,Data Science,Naukri
Business Analyst/ Data Analyst - General Ledger,"Analytical, Communication, Analytical skills, Business Analyst, Reconciliation, Consulting, Manager Technology, Product control","Analytical, Communication, Analytical skills, Business Analyst, Reconciliation, Consulting, Manager Technology, Product control",Mumbai,4-10,Data Science,Naukri
Data Analyst,"Information Research, data analysis, Excel, Data Analytics, data interpretation, sql","Information Research, data analysis, Excel, Data Analytics, data interpretation, sql","Noida, New Delhi(Mohan Co-operative), Faridabad",0-2,Data Science,Naukri
Opportunity For Fresher | UK based IT company | Data Analyst | Chennai,"Communication Skills, Mutual Funds, Excel, problem solving, ms office","Communication Skills, Mutual Funds, Excel, problem solving, ms office",Chennai,0-1,Data Science,Naukri
Business Data Analyst - Capital Market/BFSI Domain,"Communication Skills, Investment Banking, Technology, Finance, Data Management, Data Analysis, Asset Management, Data Analytics","Communication Skills, Investment Banking, Technology, Finance, Data Management, Data Analysis, Asset Management, Data Analytics",Mumbai,5-10,Data Science,Naukri
Junior / Senior Data Analyst,"IT Skills, Python, Testing, Machine Learning, Cloud, Tableau, Data Mining, Data Visualization","IT Skills, Python, Testing, Machine Learning, Cloud, Tableau, Data Mining, Data Visualization",Gurgaon/Gurugram,7-10,Data Science,Naukri
Lead/Sr Data Engineer (Hive/pyspark),"Pyspark, Hive, Hadoop, SCALA, Unix Shell Scripting, PLSQL, Data Warehousing, YARN","Pyspark, Hive, Hadoop, SCALA, Unix Shell Scripting, PLSQL, Data Warehousing, YARN","Gurgaon/Gurugram, Chennai",2-7,Data Science,Naukri
Senior Data Engineering Lead - ML or Azure,"designing and implementing, Azure ML, Azure Data Factory, Oops concept, Containers, Databricks, Kubernetes, Python","designing and implementing, Azure ML, Azure Data Factory, Oops concept, Containers, Databricks, Kubernetes, Python",Hyderabad/Secunderabad,7-12,Data Science,Naukri
SA - Content and Data Management,"Content and Data Management, communication, written, excel, Data Management, Quality Check, Email communication","Content and Data Management, communication, written, excel, Data Management, Quality Check, Email communication",Mumbai,0-2,Data Science,Naukri
SA - Content and Data Management,"Content, Data Management, excel, communication, written, Quality Check, Content writing","Content, Data Management, excel, communication, written, Quality Check, Content writing",Mumbai,0-2,Data Science,Naukri
Junior Data Analyst,"Monitoring, Remedy, Junior Data Analyst","Monitoring, Remedy, Junior Data Analyst",Delhi,0-2,Data Science,Naukri
Junior Data Analyst - DQS,"data cleansing, Root cause analysis, Data analysis, agile project management, data manipulation, MySQL, market data, JIRA","data cleansing, Root cause analysis, Data analysis, agile project management, data manipulation, MySQL, market data, JIRA","Dharmapuri, Chennai",0-1,Data Science,Naukri
Data Analyst / Data Source Engineer - SOQL/SOSL,"data cleansing, handling large data, Data Analytics, SOQL, Salesforce, Microsoft SQL, SQL, verbal communication","data cleansing, handling large data, Data Analytics, SOQL, Salesforce, Microsoft SQL, SQL, verbal communication",Bangalore/Bengaluru,2-7,Data Science,Naukri
Junior Data Analyst,"data cleansing, Data analysis, data manipulation, Data modeling, MySQL, market data, Research, big data","data cleansing, Data analysis, data manipulation, Data modeling, MySQL, market data, Research, big data","Chennai, dharmapuri",0-2,Data Science,Naukri
Senior Data Engineering Lead - DevOps,"DevOps, Test Automation Framework, Jenkins, Java, Maven, Open Source, GitHub, Automation Testing","DevOps, Test Automation Framework, Jenkins, Java, Maven, Open Source, GitHub, Automation Testing",Hyderabad/Secunderabad,12-22,Data Science,Naukri
Hiring For Data Engineer (SSE/Lead),"IT Skills, Python, Software Development, Testing, Data Science, Cloud, Oracle, Pyspark","IT Skills, Python, Software Development, Testing, Data Science, Cloud, Oracle, Pyspark","Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",3-8,Data Science,Naukri
Lead Data Engineer,"Statistical programming, Claims, SAS, Data management, Analytical, Pharmacy, Healthcare, Epidemiology","Statistical programming, Claims, SAS, Data management, Analytical, Pharmacy, Healthcare, Epidemiology",Bangalore/Bengaluru,5-10,Data Science,Naukri
Lead Azure Data Engineer,"Data analysis, NoSQL, SQL database, RDBMS, Machine learning, Data processing, Scrum, Data quality","Data analysis, NoSQL, SQL database, RDBMS, Machine learning, Data processing, Scrum, Data quality",Bangalore/Bengaluru,4-8,Data Science,Naukri
Lead Data Engineer,"snowflake, SSIS, ETL, SQL server, Data Cloud, Matillion, SQL, communication","snowflake, SSIS, ETL, SQL server, Data Cloud, Matillion, SQL, communication","Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",8-10,Data Science,Naukri
Lead Data Engineer /Principal Data Engineer,"Data Pipeline, Data Warehousing, Data Modeling, Query Optimization, hive, Data Engineering, Cloud Services, Problem Solving","Data Pipeline, Data Warehousing, Data Modeling, Query Optimization, hive, Data Engineering, Cloud Services, Problem Solving","Pune, Bangalore/Bengaluru",6-11,Data Science,Naukri
Data Engineering - Technical Lead,"NoSQL, cassandra, Debugging, Product design, JIRA, Analytics, Financial services, SQL","NoSQL, cassandra, Debugging, Product design, JIRA, Analytics, Financial services, SQL","Noida, Bangalore/Bengaluru",6-8,Data Science,Naukri
Lead Data Engineer,"Service level, GCP, Agile, Infrastructure, Data processing, MongoDB, test driven development, Gaming","Service level, GCP, Agile, Infrastructure, Data processing, MongoDB, test driven development, Gaming",Bangalore/Bengaluru,7-12,Data Science,Naukri
Lead Software Engineer - Data Engineering,"Solution architecture, NoSQL, Lead Software, TDD, Agile, Programming, HTTP, Ruby","Solution architecture, NoSQL, Lead Software, TDD, Agile, Programming, HTTP, Ruby",Bangalore/Bengaluru,5-11,Data Science,Naukri
Lead Data Engineer,"Redshift, Python, PySpark, AWS Glue, S3, Spark SQL, Azure, Spark","Redshift, Python, PySpark, AWS Glue, S3, Spark SQL, Azure, Spark",Pune,5-8,Data Science,Naukri
Lead Data Engineer,"RDBMS, data security, Risk analytics, data governance, Data quality, Gaming, Financial services, Python","RDBMS, data security, Risk analytics, data governance, Data quality, Gaming, Financial services, Python",Bangalore/Bengaluru,5-11,Data Science,Naukri
Lead Azure Data Engineer,"Data analysis, NoSQL, data domain, SQL database, Debugging, SCALA, Toad, Server management","Data analysis, NoSQL, data domain, SQL database, Debugging, SCALA, Toad, Server management",Bangalore/Bengaluru,8-12,Data Science,Naukri
Data Engineering Lead,"IT Skills, RPA, Devops","IT Skills, RPA, Devops",Bangalore/Bengaluru,8-10,Data Science,Naukri
Lead Software Engineer (Backend) - Data Platform,"Product management, Solution architecture, Backend, Prototype, Analytical, SMS, HTTP, Distribution system","Product management, Solution architecture, Backend, Prototype, Analytical, SMS, HTTP, Distribution system",Bangalore/Bengaluru,5-8,Data Science,Naukri
Associate Data Analyst,"ERP, Automation, SOA, SAS, Data modeling, Hyperion, Data structures, Troubleshooting","ERP, Automation, SOA, SAS, Data modeling, Hyperion, Data structures, Troubleshooting","Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru",3-8,Data Science,Naukri
"Lead Software Engineer - Java, micro services/Big Data, Data Platform","IT Skills, Java, Unix, Computer science, Lead Software, Coding, Analytical, big data","IT Skills, Java, Unix, Computer science, Lead Software, Coding, Analytical, big data",Bangalore/Bengaluru,13-17,Data Science,Naukri
ASSOCIATE - BUSINESS DATA ANALYST,Business Data Analyst,Business Data Analyst,Chennai,2-5,Data Science,Naukri
Associate - Business Data Analyst,"Mining, Computer science, Google Analytics, Data management, Data modeling, Analytical, Data collection, Data quality","Mining, Computer science, Google Analytics, Data management, Data modeling, Analytical, Data collection, Data quality",Chennai,1-4,Data Science,Naukri
Associate Data Analyst - SQL MSBI,"SQL, SQL queries, cloud architecture, Alteryx, Data Analysis, database performance tuning, Data Analyst, Tableau","SQL, SQL queries, cloud architecture, Alteryx, Data Analysis, database performance tuning, Data Analyst, Tableau",Gurgaon/Gurugram,4-9,Data Science,Naukri
Associate Manager Data Analyst,"Python, Power BI, Tableau, IT Skills, dashboarding, Data Analysis, Data Analyst, Business intelligence","Python, Power BI, Tableau, IT Skills, dashboarding, Data Analysis, Data Analyst, Business intelligence",Noida,3-8,Data Science,Naukri
Senior Data Engineer - Remote,"Azure Data Factory, DataBricks, Data Architecture, Spark, SQLPools, SparkPools, Airflow, Hive","Azure Data Factory, DataBricks, Data Architecture, Spark, SQLPools, SparkPools, Airflow, Hive","Kolkata, Pune, Bangalore/Bengaluru",7-12,Data Science,Naukri
Senior Azure Data Engineer,"Azure Data Factory, Azure Data lake/Delta lake, Azure Devops, Python, Azure, Hive SQL, Devops, JSON","Azure Data Factory, Azure Data lake/Delta lake, Azure Devops, Python, Azure, Hive SQL, Devops, JSON","Bhubaneswar, Kolkata, Chandigarh, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",3-6,Data Science,Naukri
Senior Data Engineer,"Pandas, data management, Hadoop, Cassandra, Prometheus, Jira, Jenkins, Hive","Pandas, data management, Hadoop, Cassandra, Prometheus, Jira, Jenkins, Hive",Bangalore/Bengaluru,4-7,Data Science,Naukri
Senior Data Engineer | Lululemon,Postgresql,Postgresql,Bangalore/Bengaluru,7-12,Data Science,Naukri
Sr Data engineer,"java, NoSQL, sql server, mongodb","java, NoSQL, sql server, mongodb",Bangalore/Bengaluru,5-8,Data Science,Naukri
Senior Data Engineer,"AWS, Ansible Automation, WAN, Chef, Configuration Management, Salt, Docker, Agile development","AWS, Ansible Automation, WAN, Chef, Configuration Management, Salt, Docker, Agile development",Pune,5-10,Data Science,Naukri
"Sr Software Engineer II (Sr Architect), Data - Core Data Platform","Neural networks, Technical design, Analytical, Software Engineer II, SCALA, Continuous improvement, Distribution system, Forecasting","Neural networks, Technical design, Analytical, Software Engineer II, SCALA, Continuous improvement, Distribution system, Forecasting",Bengaluru,5-9,Data Science,Naukri
Data Engineering Azure - Senior Associate2,"Maven, Linux, Architecture, XML, Agile, Application development, Troubleshooting, Cosmos","Maven, Linux, Architecture, XML, Agile, Application development, Troubleshooting, Cosmos","Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",5-9,Data Science,Naukri
Senior Data Engineer at Zebra Technologies,"Python, Bigquery, google cloud, Data Bricks","Python, Bigquery, google cloud, Data Bricks",Bangalore/Bengaluru,4-8,Data Science,Naukri
Senior Data Engineer,"Procurement, Solution architecture, GIT, Disaster recovery, Healthcare, Genetics, HR, PWD","Procurement, Solution architecture, GIT, Disaster recovery, Healthcare, Genetics, HR, PWD",Bangalore/Bengaluru,4-7,Data Science,Naukri
Data Engineer - Sr . Consultant level,"Core Java, Data Pipeline, Data Structures, Hadoop, Big Data, Data Mining, Spark, Object Oriented Programming","Core Java, Data Pipeline, Data Structures, Hadoop, Big Data, Data Mining, Spark, Object Oriented Programming",Bangalore/Bengaluru,12-15,Data Science,Naukri
Senior Software Engineer - Architect - (Data),"Computer science, Backend, NoSQL, Data modeling, cassandra, MySQL, Machine learning, Analytics","Computer science, Backend, NoSQL, Data modeling, cassandra, MySQL, Machine learning, Analytics",Bangalore/Bengaluru,4-8,Data Science,Naukri
Senior Principal Software Engineer Data,"Java, Kafka, microservices, Hive, big data technologies, API, ETL, Restful services","Java, Kafka, microservices, Hive, big data technologies, API, ETL, Restful services",Bangalore/Bengaluru,4-9,Data Science,Naukri
Data Engineer - Sr . Consultant level,"PaaS, Bigdata, Computer science, Automation, GIT, Configuration management, Instrumentation, Scrum","PaaS, Bigdata, Computer science, Automation, GIT, Configuration management, Instrumentation, Scrum",Bangalore/Bengaluru,10-15,Data Science,Naukri
Senior Manager - EDM Data Engineering - Product,"Printing, Data migration, DTS, SAP, Manager Quality Assurance, System integration, Javascript, Data quality","Printing, Data migration, DTS, SAP, Manager Quality Assurance, System integration, Javascript, Data quality",Bangalore/Bengaluru,15-17,Data Science,Naukri
Sr Mgr - EDM Data Engineering - Customer MD,"Printing, Data migration, DTS, Manager Quality Assurance, Publishing, data domain, System integration, Data quality","Printing, Data migration, DTS, Manager Quality Assurance, Publishing, data domain, System integration, Data quality",Bangalore/Bengaluru,10-15,Data Science,Naukri
"Senior Advisor, Data Engineering","Data Engineering, B2C marketing strategy, database marketing, IT Skills, Python, Testing, Direct Marketing, Lead Generation","Data Engineering, B2C marketing strategy, database marketing, IT Skills, Python, Testing, Direct Marketing, Lead Generation",Bangalore/Bengaluru,8-13,Data Science,Naukri
Data Engineering Analyst,"NoSQL, Production support, Testing tools, devops, Flex, Agile, Security testing, Manager Technology","NoSQL, Production support, Testing tools, devops, Flex, Agile, Security testing, Manager Technology",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Engineer - Sr . Consultant level,"Computer science, continuous integration, Hibernate, Core Java, Automation, Software design, cyber security, Coding","Computer science, continuous integration, Hibernate, Core Java, Automation, Software design, cyber security, Coding",Bangalore/Bengaluru,10-15,Data Science,Naukri
Data & Analytics Tech - Data Engineering - GCP - Senior Manager,"GCP, Data analytics","GCP, Data analytics",Bangalore/Bengaluru,6-9,Data Science,Naukri
Senior Software Engineer - Data Platform DLC,"IT Skills, Java, Python, Cloud, Oracle, Node.js, Javascript, Nosql","IT Skills, Java, Python, Cloud, Oracle, Node.js, Javascript, Nosql",Bangalore/Bengaluru,2-7,Data Science,Naukri
Senior Engineering Manager - Big Data,"Spark, Presto, Big Data, Scala, Storm, Azure cloud, Big data development, Druid","Spark, Presto, Big Data, Scala, Storm, Azure cloud, Big data development, Druid",Bangalore/Bengaluru,8-13,Data Science,Naukri
Associate Data Anlayst,"Microsoft Excel, Management, Service level, Excel, Time management, Finance, Manager Technology, Genetics","Microsoft Excel, Management, Service level, Excel, Time management, Finance, Manager Technology, Genetics",Bangalore/Bengaluru,0-1,Data Science,Naukri
Associate Data Anlayst,"Service level, Excel, Time management, Finance, Manager Technology, Genetics, Workflow, General Administrator","Service level, Excel, Time management, Finance, Manager Technology, Genetics, Workflow, General Administrator",Bangalore/Bengaluru,0-1,Data Science,Naukri
Big Data Engineer/Developer/Sr. Developer,"IT Skills, Java, Python, Software Development, Cloud, Big Data, Performance tuning, Automation","IT Skills, Java, Python, Software Development, Cloud, Big Data, Performance tuning, Automation","Noida, Indore",2-5,Data Science,Naukri
Senior Data Warehouse Engineer,"Performance tuning, Coding, Unit testing, Apache, Business intelligence, Troubleshooting, Data mining, SQL","Performance tuning, Coding, Unit testing, Apache, Business intelligence, Troubleshooting, Data mining, SQL",Hyderabad/Secunderabad,0-5,Data Science,Naukri
Senior Azure Data Engineer -Permanent,"Business process, IT services, Cloud computing, data services, Automation, Consulting, Cloud, MySQL","Business process, IT services, Cloud computing, data services, Automation, Consulting, Cloud, MySQL",Chennai,5-9,Data Science,Naukri
Senior Data Engineer,"Computer science, Sales Engineer, SAN, Automation, Data modeling, Informatica, SQL, CRM","Computer science, Sales Engineer, SAN, Automation, Data modeling, Informatica, SQL, CRM",Pune,5-9,Data Science,Naukri
Senior Data Engineer,"Data Engineering, data processing, Data Engineer, cloud deployments, data transformation, ETL, Informatica Powercenter","Data Engineering, data processing, Data Engineer, cloud deployments, data transformation, ETL, Informatica Powercenter",Serilingampally,4-9,Data Science,Naukri
Senior Data Engineer,"System Testing, Unix, webservices, Teradata, SQL, Opensource technologies, microservices, REST API","System Testing, Unix, webservices, Teradata, SQL, Opensource technologies, microservices, REST API",Serilingampally,8-13,Data Science,Naukri
Senior Data Engineer,"Teradata, Informatica 9x, Fastload, Informatica development, Informatica 10x, FastExport, Teradata architecture, Mload","Teradata, Informatica 9x, Fastload, Informatica development, Informatica 10x, FastExport, Teradata architecture, Mload",Serilingampally,7-12,Data Science,Naukri
Senior Data Engineer,"SQL, IT Skills, Python, Software Development, Testing, Cloud, Troubleshooting Skills, Software Services","SQL, IT Skills, Python, Software Development, Testing, Cloud, Troubleshooting Skills, Software Services",Serilingampally,8-13,Data Science,Naukri
Senior Data Engineer,"Oracle, Unix, Data Transformation, NoSQL, Informatica Power Center, SQL Server, Data Warehousing, Data Modeling","Oracle, Unix, Data Transformation, NoSQL, Informatica Power Center, SQL Server, Data Warehousing, Data Modeling",Serilingampally,7-12,Data Science,Naukri
Sr. Engineer -MEP (Data Center),"IT Facilities, ELV systems, BMS, Data Center","IT Facilities, ELV systems, BMS, Data Center","Panvel, Kancheepuram",3-7,Data Science,Naukri
Senior Data Analyst - Data Warehousing/Business Intelligence,"Business Intelligence, Data Warehousing, SQL, BI Reporting, ETL Tools, Alteryx, Data Visualization, Statistical Analyst","Business Intelligence, Data Warehousing, SQL, BI Reporting, ETL Tools, Alteryx, Data Visualization, Statistical Analyst",Bangalore/Bengaluru,4-8,Data Science,Naukri
Senior Data Analyst - Data Warehousing/ Business Intelligence,"Business Intelligence, Data Analysis, Data Warehousing, Microstrategy, BI Reporting, R, Alteryx, Data Visualization","Business Intelligence, Data Analysis, Data Warehousing, Microstrategy, BI Reporting, R, Alteryx, Data Visualization",Bangalore/Bengaluru,4-8,Data Science,Naukri
BODS Data Migration Sr. Analyst / Lead,"SAP C4C, ECC, CPI, debugging, SAP BTP, SOAP, UI Script, SAP Sales","SAP C4C, ECC, CPI, debugging, SAP BTP, SOAP, UI Script, SAP Sales",Hyderabad/Secunderabad,6-11,Data Science,Naukri
BODS Data Migration Sr. Analyst / Lead,"SAP C4C, ECC, CPI","SAP C4C, ECC, CPI",Hyderabad/Secunderabad,6-11,Data Science,Naukri
Data Engineer,"hadoop, ETL, IT Skills, Java, Python, Cloud, Big Data, Data Warehousing","hadoop, ETL, IT Skills, Java, Python, Cloud, Big Data, Data Warehousing","Noida, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9,Data Science,Naukri
"Data Engineer - Power BI , Tableau & SQL","IT Skills, Java, Python, Cloud, Oracle, Big Data, Tableau, Microstrategy","IT Skills, Java, Python, Cloud, Oracle, Big Data, Tableau, Microstrategy",Bangalore/Bengaluru,3-5,Data Science,Naukri
Data Engineer,"phython, Microsoft Azure, aws, IT Skills, Cloud, Project Management, Azure, BPO","phython, Microsoft Azure, aws, IT Skills, Cloud, Project Management, Azure, BPO","Bangalore/Bengaluru, Mumbai (All Areas)",1-4,Data Science,Naukri
Data Engineer II,"Data modeling, Agile, Business intelligence, SDLC, Python, Computer science, Performance tuning, Debugging","Data modeling, Agile, Business intelligence, SDLC, Python, Computer science, Performance tuning, Debugging",Bangalore/Bengaluru,3-5,Data Science,Naukri
Gcp Data Engineer,"python, PLSQL, ETL, Gcp Cloud, SQL, IT Skills, Machine Learning, Cloud","python, PLSQL, ETL, Gcp Cloud, SQL, IT Skills, Machine Learning, Cloud","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9,Data Science,Naukri
Data Engineer - Gamma,"Data Engineering, Pyspark, Hive, Hadoop Development, Big Data, SQL, Python","Data Engineering, Pyspark, Hive, Hadoop Development, Big Data, SQL, Python","New Delhi, Gurgaon/Gurugram, Bangalore/Bengaluru",2-4,Data Science,Naukri
Data Quality Engineer,"Python, analytical, Jira, written, verbal communication, SQL queries, Agile, relational databases","Python, analytical, Jira, written, verbal communication, SQL queries, Agile, relational databases",Bangalore/Bengaluru,2-4,Data Science,Naukri
Data Engineer: Big Data,"Cloud computing, Eclipse, SCALA, big data, Python, Interpersonal skills, GIT, Time management","Cloud computing, Eclipse, SCALA, big data, Python, Interpersonal skills, GIT, Time management",Bangalore/Bengaluru,7-12,Data Science,Naukri
Lead Data Analyst,"Data Science, Project Management, Computer Science, Data Analyst, Ab Testing, Machine Learning, Statistics, Analytics","Data Science, Project Management, Computer Science, Data Analyst, Ab Testing, Machine Learning, Statistics, Analytics","United States (USA), Bangalore/Bengaluru",5-10,Data Science,Naukri
Data Engineer,"Computer science, Data modeling, Analytical, Data quality, Stored procedures, application architecture, SSIS, Troubleshooting","Computer science, Data modeling, Analytical, Data quality, Stored procedures, application architecture, SSIS, Troubleshooting",Bangalore/Bengaluru,0-1,Data Science,Naukri
Lead Data Analyst,"Analytical skills, Mediclaim, Analytical, design conceptualization, power bi, E-commerce, Continuous improvement, Counselling","Analytical skills, Mediclaim, Analytical, design conceptualization, power bi, E-commerce, Continuous improvement, Counselling",Bangalore/Bengaluru,6-9,Data Science,Naukri
Lead Data Analyst,"Data analysis, Automation, Due diligence, Claims, Staffing, Data modeling, Scheduling, Oracle","Data analysis, Automation, Due diligence, Claims, Staffing, Data modeling, Scheduling, Oracle",Bangalore/Bengaluru,8-12,Data Science,Naukri
Lead Data Analyst,"Automation, Due diligence, Claims, Manager Quality Assurance, HP data protector, Staffing, Data quality, SSIS","Automation, Due diligence, Claims, Manager Quality Assurance, HP data protector, Staffing, Data quality, SSIS",Bangalore/Bengaluru,4-7,Data Science,Naukri
Lead Collections Data Analyst,"Arabic, Cyber Security, Javascript, Big Data, English Language, Python, Threat","Arabic, Cyber Security, Javascript, Big Data, English Language, Python, Threat",Bangalore/Bengaluru,1-4,Data Science,Naukri
Azure Data Lead Analyst,"Azure Data Lake, Azure Data Factory, PySpark, Azure, Azure SQL DW / Synapse, Python, communication, verbal","Azure Data Lake, Azure Data Factory, PySpark, Azure, Azure SQL DW / Synapse, Python, communication, verbal",Bangalore/Bengaluru,5-10,Data Science,Naukri
Lead Business Analyst - Data Science,"IT Skills, Python, Testing, Data Science, Project Management, Tableau, Power BI, Business Analyst","IT Skills, Python, Testing, Data Science, Project Management, Tableau, Power BI, Business Analyst",Bangalore/Bengaluru,2-6,Data Science,Naukri
Data Operations - Lead Analyst,"Data analysis, Data management, Analytical, Project planning, Data quality, Information management, Lead Analyst, Financial services","Data analysis, Data management, Analytical, Project planning, Data quality, Information management, Lead Analyst, Financial services",Bangalore/Bengaluru,5-7,Data Science,Naukri
Data Migration Engineer @Ahmedabad (Permanent WFH),"sql queries, Good Communication In English, Communication, Written, My SQL, SQL Server, Verbal Communication, RDBMS","sql queries, Good Communication In English, Communication, Written, My SQL, SQL Server, Verbal Communication, RDBMS","Ahmedabad(Ghatlodia), Surat, Vadodara",0-1,Data Science,Naukri
Hiring For Lead Data Analyst,"Google Tag Management, JS, Google Analytics 360, Google, Tableau, Advanced Excel, analytics, BI intelligence","Google Tag Management, JS, Google Analytics 360, Google, Tableau, Advanced Excel, analytics, BI intelligence","Hyderabad/Secunderabad, Bangalore/Bengaluru",5-9,Data Science,Naukri
Lead - IT Data Science Analyst,"Analyst, Automation, data science, Data modeling, MySQL, Architectural design, Continuous improvement, Project execution","Analyst, Automation, data science, Data modeling, MySQL, Architectural design, Continuous improvement, Project execution",Bangalore/Bengaluru,4-8,Data Science,Naukri
Lead Data Analyst,"Predictive Modeling, Data Science, Digital Media, Data Analysis, Statistical Modeling, Data Analyst, Analytics, Python","Predictive Modeling, Data Science, Digital Media, Data Analysis, Statistical Modeling, Data Analyst, Analytics, Python",Bangalore/Bengaluru,8-13,Data Science,Naukri
"Program Manager, Global Server Data, Enterprise Data Lead","management, Informatica, SAP, IT Skills, Supply chain, System architecture, Data management, data governance","management, Informatica, SAP, IT Skills, Supply chain, System architecture, Data management, data governance",Bangalore/Bengaluru,6-10,Data Science,Naukri
Junior Data Engineer,"Kafka, NoSQL, Kinesis, Python, pyspark, data structures, written communications, Big Data","Kafka, NoSQL, Kinesis, Python, pyspark, data structures, written communications, Big Data",Bangalore/Bengaluru,0-3,Data Science,Naukri
Junior Data Engineer,"hive, python, bigdata, pyspark, sql, spark, hadoop, sqoop","hive, python, bigdata, pyspark, sql, spark, hadoop, sqoop","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-5,Data Science,Naukri
Senior Data Analyst,"Data Analysis, Data Research, Visual Analytics, Power Bi, Finance, Data Visualization, Advanced Excel, Tableau","Data Analysis, Data Research, Visual Analytics, Power Bi, Finance, Data Visualization, Advanced Excel, Tableau",Hyderabad/Secunderabad,3-8,Data Science,Naukri
Senior Data Analyst,"Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Data Analyst, Management","Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Data Analyst, Management",Mumbai,5-10,Data Science,Naukri
Senior Data Analyst Req:340,"python, data modelling, SQL, IT Skills, Cloud, Big Data, Tableau, Power BI","python, data modelling, SQL, IT Skills, Cloud, Big Data, Tableau, Power BI","Hyderabad/Secunderabad, Pune",7-12,Data Science,Naukri
Senior Analyst - Data Science,"Python, verbal communication, written, R, IT Skills, Data Science, Machine Learning, Artificial Intelligence","Python, verbal communication, written, R, IT Skills, Data Science, Machine Learning, Artificial Intelligence",Chennai,1-6,Data Science,Naukri
Senior Data Analyst,"development, rdbms, technical, scala, Perl, Informatica, SDLC, sql","development, rdbms, technical, scala, Perl, Informatica, SDLC, sql",Jaipur,8-10,Data Science,Naukri
Senior Data Analyst,"Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics","Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics",Chennai,2-5,Data Science,Naukri
Senior Data Analyst,"Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics","Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics",Pune,2-5,Data Science,Naukri
Senior Data Analyst,"Computer science, Data analysis, SAS, Data analytics, Data Analyst, microsoft, Data mining, Business intelligence","Computer science, Data analysis, SAS, Data analytics, Data Analyst, microsoft, Data mining, Business intelligence",Calicut/Kozhikode,1-5,Data Science,Naukri
Senior Data Analyst,"Process automation, Data analysis, Automation, Analytical, Machine learning, Sensors, Data mining, microsoft","Process automation, Data analysis, Automation, Analytical, Machine learning, Sensors, Data mining, microsoft",Hyderabad/Secunderabad,3-6,Data Science,Naukri
Advisory - Consulting AcOE - Data Engineering - Senior Associate 2,"Unix, Computer science, Assurance, Data management, Consulting, Business strategy, Informatica, Business intelligence","Unix, Computer science, Assurance, Data management, Consulting, Business strategy, Informatica, Business intelligence",Kolkata,4-8,Data Science,Naukri
Senior Data Analyst,"Graphics, Computer science, Data analysis, Data management, Consulting, Senior Data Analyst, Corporate, Profit growth","Graphics, Computer science, Data analysis, Data management, Consulting, Senior Data Analyst, Corporate, Profit growth",Pune,4-6,Data Science,Naukri
Data Analyst / Sr . Data Analyst,"Operations research, SAS, Data collection, Hypothesis Testing, HTML, SPSS, Data mining, Econometrics","Operations research, SAS, Data collection, Hypothesis Testing, HTML, SPSS, Data mining, Econometrics",Noida,2-4,Data Science,Naukri
Sr Data Analyst / Power BI Developer,"IT Skills, Quality Assurance, Digital Marketing, Power BI, Business Intelligence, Google Analytics, Data Analysis, Data Visualization","IT Skills, Quality Assurance, Digital Marketing, Power BI, Business Intelligence, Google Analytics, Data Analysis, Data Visualization",Gandhinagar,2-4,Data Science,Naukri
Senior Data Analyst,"Data analysis, Product engineering, Equity research, Data modeling, Market intelligence, Marketing operations, Business intelligence, Operations","Data analysis, Product engineering, Equity research, Data modeling, Market intelligence, Marketing operations, Business intelligence, Operations",Pune,5-6,Data Science,Naukri
Senior Data Governance Analyst | Advance Auto Parts,Reltio,Reltio,Hyderabad/Secunderabad,4-6,Data Science,Naukri
Sr. Data Analyst,"Analytical skills, Data analysis, Data management, Business Analyst, Business analysis, Data collection, Data Analyst, Data analytics","Analytical skills, Data analysis, Data management, Business Analyst, Business analysis, Data collection, Data Analyst, Data analytics",Mumbai,2-5,Data Science,Naukri
