job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Sr. Clinical Data Programming Scientist,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials","SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials",Bangalore/Bengaluru,7-11,Data Science,Naukri
"Manager, Senior Clinical Data Scientist, Clinical Data Sciences","Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring","Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring",Chennai,4-8,Data Science,Naukri
Senior Data Scientist,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data","Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data",Pune,3-7,Data Science,Naukri
Digital-Senior Process Manager- Data Scientist SPM,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics","Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics",Pune,8-13,Data Science,Naukri
Data Scientist,"Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data","Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data","Pune, Bangalore/Bengaluru",5-10,Data Science,Naukri
Data Scientist - Machine learning AI,"Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science","Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-8,Data Science,Naukri
DATA SCIENTIST,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence","Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence",Bangalore/Bengaluru,2-7,Data Science,Naukri
Principal Data Scientist - Digital Marketing,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source","Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source",Bangalore/Bengaluru,7-12,Data Science,Naukri
Manager Applied Data Scientist,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python","Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python",Bangalore/Bengaluru,3-6,Data Science,Naukri
Sr Data Scientist and Engineer,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau","machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau",Chennai,5-8,Data Science,Naukri
Data Scientist/ Sr Data Scientist,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R","Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R",Gurgaon/Gurugram,2-6,Data Science,Naukri
"Manager, Lead Data Scientist (R CoE)","Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML","Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML",Mumbai,6-8,Data Science,Naukri
Data Scientist: Artificial Intelligence,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment","Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Scientist (AVP & Manager Roles),"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning","Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning",Noida,3-8,Data Science,Naukri
Principal Data Scientist,"Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS","Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS","Bangalore/Bengaluru, Mumbai (All Areas)",12-16,Data Science,Naukri
Data Scientist,"AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree","AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",5-8,Data Science,Naukri
Data Scientist: Advanced Analytics,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing","Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing",Bangalore/Bengaluru,2-5,Data Science,Naukri
Data Scientist: Artificial Intelligence,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration","Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration",Bangalore/Bengaluru,3-7,Data Science,Naukri
"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)","Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie","Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie",Hyderabad/Secunderabad(Nanakramguda),7-12,Data Science,Naukri
VP-Data Scientist-AI/ML with Leading Investment Bank,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning","Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning",Bangalore/Bengaluru,8-12,Data Science,Naukri
Senior Data Scientist,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks","IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks",Bangalore/Bengaluru,5-10,Data Science,Naukri
Cognitive/AI Senior Data Scientist,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR","Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR",Bangalore/Bengaluru,4-8,Data Science,Naukri
Analyst - Applied Data Scientist,"python, Tableau, SQL","python, Tableau, SQL",Bangalore/Bengaluru,1-2,Data Science,Naukri
Research Data Scientist,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL","Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL",Bangalore/Bengaluru,4-9,Data Science,Naukri
Freshers For Junior Data Scientist,"Statistical Modeling, R Program","Statistical Modeling, R Program",Chennai,0-1,Data Science,Naukri
Lead - Data Scientist,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau","data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau",Bangalore/Bengaluru,10-15,Data Science,Naukri
Data Scientist / Analyst,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services","Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services",Bangalore/Bengaluru,2-6,Data Science,Naukri
Data Scientist - Machine Learning/APICS,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python","Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",Hyderabad/Secunderabad,3-8,Data Science,Naukri
Data Scientist,"python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying","python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying","Thane, Panvel, Navi Mumbai",4-9,Data Science,Naukri
Assistant Manager/Manager/Senior Manager - Data Scientist,"R, SAS, Data Scientist, analytics, analytical skills, Machine Learning","R, SAS, Data Scientist, analytics, analytical skills, Machine Learning","Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,Data Science,Naukri
Senior Data Scientist,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL","Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL",Chennai,4-6,Data Science,Naukri
Job Opportunity || Data Scientist || HCL Technologies,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN","machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN",Delhi / NCR,2-7,Data Science,Naukri
Clinical Data Management Scientist,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming","SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming",Bangalore/Bengaluru,5-8,Data Science,Naukri
Data Scientist: Advanced Analytics,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics","Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics",Kolkata,2-5,Data Science,Naukri
Data Scientist - KONE India Pvt. LTD,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization","python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization",Pune,4-6,Data Science,Naukri
Data Scientist,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence","Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence",Noida,5-8,Data Science,Naukri
Data Scientist - Leading Analytics Product Company in Mumbai,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C","Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",Mumbai,3-8,Data Science,Naukri
Data Scientist - R/Python,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL","Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL",Greater Noida,5-10,Data Science,Naukri
Data Scientist - Machine Learning,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm","Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm",Hyderabad/Secunderabad,5-10,Data Science,Naukri
Sr. Data Scientist,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM","analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM",Hyderabad/Secunderabad,5-10,Data Science,Naukri
Sr. Data Scientist,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing","Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing",Chennai,6-8,Data Science,Naukri
Senior Data Scientist,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling","Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling",Mumbai,5-9,Data Science,Naukri
Digital-Senior Process Manager- Data Scientist SPM,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management","data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management",Pune,8-13,Data Science,Naukri
