company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Straive,3.4,1.6k,23,157,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
American Broadcasting Company,4.0,1.6k,4,513,"Work Life Balance, Salary & Benefits, Job Security",
Lodha Group,4.1,1.6k,103,114,"Skill Development / Learning, Company Culture, Salary & Benefits",
Hero FinCorp,4.1,1.6k,21,84,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Bureau Veritas,3.9,1.6k,11,97,"Work Life Balance, Job Security",Promotions / Appraisal
Kia Motors,3.9,1.6k,5,124,,Promotions / Appraisal
Alldigi Tech,3.9,1.6k,17,109,Job Security,Promotions / Appraisal
Force Motors,3.6,1.6k,2,112,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Varroc Group,3.7,1.6k,4,126,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Poonawalla Fincorp,3.8,1.6k,9,51,,Promotions / Appraisal
Optum Global Solutions,4.1,1.6k,--,165,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
CAMS,3.7,1.6k,18,104,Job Security,"Promotions / Appraisal, Salary & Benefits"
Dhani Loans and Services,3.8,1.6k,4,69,,"Job Security, Promotions / Appraisal"
Delphi TVS,4.0,1.6k,--,75,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
Laurus Labs,4.2,1.6k,2,101,"Job Security, Salary & Benefits, Company Culture",
Bank of Baroda,3.6,1.6k,--,100,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture"
ITC Hotels,4.1,1.6k,--,79,"Job Security, Skill Development / Learning, Company Culture",
Microsoft Corporation,4.1,1.6k,--,546,"Work Life Balance, Company Culture, Skill Development / Learning",
Brakes India,4.0,1.6k,4,68,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Cargill,4.1,1.6k,91,92,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Coromandel International,4.1,1.6k,6,89,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
SAP,4.2,1.6k,320,291,"Work Life Balance, Company Culture, Job Security",
ValueLabs,3.8,1.6k,80,171,Salary & Benefits,
Meesho,3.7,1.6k,213,293,Salary & Benefits,"Job Security, Promotions / Appraisal"
Meesho,3.7,1.6k,213,293,Salary & Benefits,"Job Security, Promotions / Appraisal"
Niva Bupa Health Insurance Company,3.7,1.6k,7,101,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
