company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
HighRadius,2.9,1.3k,29,172,,"Job Security, Work Satisfaction, Work Life Balance"
Trident Group,3.3,1.3k,11,92,Salary & Benefits,"Job Security, Work Life Balance, Company Culture"
Polycab Wires,4.1,1.3k,37,87,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
HDFC Securities,3.6,1.3k,58,97,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Bata,3.8,1.3k,1,56,,"Promotions / Appraisal, Work Satisfaction"
Manipal Hospitals,4.2,1.3k,68,72,"Skill Development / Learning, Job Security, Company Culture",
Spinny,3.8,1.3k,45,153,,"Promotions / Appraisal, Job Security, Work Life Balance"
Medanta the Medicity,4.1,1.2k,35,90,"Job Security, Skill Development / Learning, Company Culture",
Relaxo Footwear,4.2,1.2k,42,75,"Job Security, Company Culture, Skill Development / Learning",
Vardhman Fabrics,4.0,1.2k,7,58,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
EPAM Systems,3.7,1.2k,49,482,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security"
Max Fashion,4.1,1.2k,--,55,"Skill Development / Learning, Job Security, Company Culture",
Foxconn,4.0,1.2k,8,139,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Oberoi Group of Hotels,4.2,1.2k,--,84,"Skill Development / Learning, Job Security, Company Culture",
IDC Technologies,3.3,1.2k,2,61,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Security and Intelligence Services (India),4.2,1.2k,23,51,"Job Security, Work Life Balance, Skill Development / Learning",
Emami,4.0,1.2k,7,83,"Job Security, Work Life Balance",Promotions / Appraisal
Mercer,3.7,1.2k,18,75,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Tesco,3.9,1.2k,87,113,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
NextComm Corporation,4.9,1.2k,--,5,"Work Life Balance, Promotions / Appraisal, Company Culture",
Newgen Software Technologies,3.6,1.2k,19,177,Job Security,"Work Satisfaction, Skill Development / Learning"
Veritas Finance,4.7,1.2k,--,68,"Company Culture, Job Security, Work Life Balance",
Shadowfax Technologies,3.6,1.2k,21,109,,"Promotions / Appraisal, Job Security, Company Culture"
Hyatt Regency,4.2,1.2k,1,42,"Skill Development / Learning, Company Culture, Job Security",
iOPEX Technologies,3.6,1.2k,15,62,,"Salary & Benefits, Promotions / Appraisal"
NIIT,3.6,1.2k,35,77,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CG Power and Industrial Solutions,3.9,1.2k,6,73,Job Security,Promotions / Appraisal
TCS iON,3.9,1.2k,--,337,"Job Security, Work Life Balance",Promotions / Appraisal
Belrise Industries,3.8,1.2k,5,81,,"Promotions / Appraisal, Salary & Benefits"
Jio Platforms,3.5,1.2k,--,179,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
AkzoNobel,4.2,1.2k,10,56,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal
Bajaj Capital,3.9,1.2k,29,74,"Skill Development / Learning, Work Life Balance, Company Culture",
Aforeserve,3.4,1.2k,30,51,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Marriott International,4.3,1.2k,106,73,"Skill Development / Learning, Job Security, Company Culture",
ICICI Home Finance,3.7,1.2k,18,69,Salary & Benefits,"Work Life Balance, Work Satisfaction"
L.G.Balakrishnan & Bros,3.6,1.2k,--,55,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Bhushan Power & Steel,4.0,1.2k,--,47,Skill Development / Learning,Promotions / Appraisal
KFC,4.1,1.2k,--,56,"Skill Development / Learning, Company Culture, Job Security",
Marico,4.0,1.2k,7,79,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Aye Finance,4.2,1.2k,13,56,"Salary & Benefits, Work Life Balance, Company Culture",
AtkinsRealis,4.0,1.2k,61,86,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Toyota Kirloskar Motor,4.4,1.2k,--,46,"Company Culture, Skill Development / Learning, Job Security",
LivSpace,3.6,1.2k,187,132,,"Promotions / Appraisal, Job Security, Work Life Balance"
Wipro Enterprises Ltd,3.9,1.2k,--,139,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Suguna Foods,4.0,1.2k,--,69,,Promotions / Appraisal
Hero Motors Company,4.1,1.2k,5,80,"Work Life Balance, Company Culture, Skill Development / Learning",
Aon,3.9,1.2k,77,61,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Exotic Learning,4.5,1.2k,--,43,"Company Culture, Work Life Balance, Skill Development / Learning",
Faurecia,3.9,1.2k,58,58,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Pine Labs,3.5,1.2k,14,93,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Welspun,4.1,1.2k,--,62,"Skill Development / Learning, Company Culture, Job Security",
Chandigarh University,4.4,1.2k,167,70,"Job Security, Skill Development / Learning, Company Culture",
Haldiram Foods,3.8,1.2k,4,108,,Promotions / Appraisal
TTEC India,3.7,1.2k,25,125,Company Culture,"Promotions / Appraisal, Salary & Benefits"
JioMart,3.9,1.2k,--,91,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Henry Harvin Education,3.9,1.2k,66,11,"Work Life Balance, Skill Development / Learning, Job Security",
Aditya Birla Health Insurance Co,3.9,1.2k,1,82,"Job Security, Skill Development / Learning",Promotions / Appraisal
Sigma Electric Manufacturing Corporation,4.0,1.2k,9,62,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Oracle Financial Services Software,3.6,1.2k,--,157,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Muthoot Group,3.6,1.2k,--,62,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cushman & Wakefield,4.2,1.2k,63,72,"Company Culture, Work Life Balance, Job Security",
Krishna Maruti,4.0,1.2k,6,84,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
FedEx Express,4.0,1.1k,84,85,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
AB InBev India,3.4,1.1k,6,91,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Collabera Technologies,3.5,1.1k,5,130,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Satin Creditcare Network,4.0,1.1k,8,48,"Company Culture, Salary & Benefits, Work Life Balance",
Dell EMC,4.1,1.1k,--,62,"Work Life Balance, Company Culture, Job Security",
Sony,4.3,1.1k,6,60,"Company Culture, Work Life Balance, Job Security",
IFB,3.7,1.1k,1,85,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
ISS Facility Services,4.2,1.1k,17,47,"Work Life Balance, Job Security, Company Culture",
Redcliffe Labs,4.4,1.1k,12,43,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",
Health Care Global Enterprises,4.2,1.1k,32,56,"Skill Development / Learning, Job Security, Work Life Balance",
Paytm Payments Bank,3.9,1.1k,1,123,,"Promotions / Appraisal, Job Security"
Daimler India Commercial Vehicles,4.1,1.1k,5,59,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Xyz Company,3.8,1.1k,3,415,"Company Culture, Work Life Balance",
Piramal Group,3.9,1.1k,63,60,"Skill Development / Learning, Company Culture, Work Life Balance",
Narayana Educational Society,3.7,1.1k,--,54,,"Promotions / Appraisal, Work Life Balance, Company Culture"
Granules India,3.9,1.1k,6,62,Job Security,"Promotions / Appraisal, Skill Development / Learning"
GMR Group,4.0,1.1k,--,70,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
K12 Techno Services,3.0,1.1k,76,128,,"Job Security, Promotions / Appraisal, Company Culture"
Broadridge Financial Solutions,4.0,1.1k,52,127,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Gland Pharma,3.8,1.1k,7,70,,"Salary & Benefits, Promotions / Appraisal"
Caterpillar Inc,4.3,1.1k,100,160,"Company Culture, Work Life Balance, Job Security",
Goldman Sachs,3.6,1.1k,192,391,,"Work Life Balance, Job Security, Promotions / Appraisal"
Supreme Industries,4.2,1.1k,--,64,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Annapurna Finance,4.1,1.1k,--,59,"Salary & Benefits, Job Security, Skill Development / Learning",
Nayara Energy,4.2,1.1k,29,77,"Job Security, Salary & Benefits, Work Life Balance",
Jindal X,3.5,1.1k,3,96,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Evalueserve,3.3,1.1k,27,105,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Sanofi,4.3,1.1k,255,68,"Work Life Balance, Company Culture, Skill Development / Learning",
J. Kumar Infraprojects,4.1,1.1k,3,65,"Job Security, Skill Development / Learning, Work Life Balance",
Xiaomi,3.9,1.1k,--,82,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
GE Vernova,4.1,1.1k,38,78,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security"
NSE.IT,3.6,1.1k,16,119,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Pantaloons,4.2,1.1k,--,56,"Job Security, Skill Development / Learning, Company Culture",
Canara Bank,3.4,1.1k,23,54,Job Security,"Work Life Balance, Work Satisfaction, Company Culture"
Godrej Industries Group,4.0,1.1k,--,112,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Compass Group Support Services,4.1,1.1k,29,51,"Company Culture, Work Life Balance, Skill Development / Learning",
Gujarat Fluorochemicals,4.0,1.1k,10,75,"Job Security, Work Life Balance, Skill Development / Learning",
Heritage Foods,4.1,1.1k,31,79,"Salary & Benefits, Job Security, Company Culture",
Ashoka Buildcon,4.1,1.1k,16,62,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Spicejet,3.6,1.1k,6,91,,"Promotions / Appraisal, Salary & Benefits, Job Security"
ITD Cementation India,4.3,1.1k,3,61,"Job Security, Company Culture, Salary & Benefits",
Tanishq,4.4,1.1k,1,63,"Skill Development / Learning, Company Culture, Work Satisfaction",
CorroHealth,3.4,1.1k,2,127,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Sysnet Global Technologies,3.6,1.1k,2,63,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
VLCC,3.6,1.1k,21,37,,"Promotions / Appraisal, Company Culture, Work Life Balance"
GE,4.3,1.1k,26,99,"Company Culture, Work Life Balance, Skill Development / Learning",
Asahi India Glass,3.9,1.1k,15,70,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
Lavender Technology,5.0,1.1k,--,3,"Company Culture, Skill Development / Learning, Promotions / Appraisal",
Bharat FIH,4.0,1.1k,4,69,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Lumax Industries,4.0,1.1k,4,67,"Job Security, Skill Development / Learning",
CSB Bank,3.3,1.1k,52,67,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Fabindia,3.9,1.1k,6,50,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
SRL Diagnostics,4.1,1.1k,--,55,"Skill Development / Learning, Work Life Balance, Company Culture",
Panasonic,4.1,1.1k,16,45,"Work Life Balance, Job Security, Company Culture",
Amity University,3.6,1.1k,38,90,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Valeo,4.0,1.1k,24,84,"Job Security, Salary & Benefits, Work Life Balance",
Devyani International,3.9,1.1k,26,43,Skill Development / Learning,
Bharat Forge,3.8,1.1k,1,53,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Hindustan Construction Company,4.2,1.1k,--,74,"Job Security, Company Culture, Skill Development / Learning",
Tata 1mg,3.7,1.1k,25,136,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Amul India,4.1,1.1k,3,112,"Job Security, Work Life Balance, Company Culture",
VMware Software,4.4,1.1k,49,152,"Company Culture, Salary & Benefits, Work Life Balance",
MiraMed Ajuba,4.0,1.1k,--,54,"Job Security, Company Culture, Skill Development / Learning",
Aptara,3.3,1.1k,9,60,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Tietoevry,4.3,1.1k,16,81,"Work Life Balance, Company Culture, Job Security",
Unisys,3.8,1.1k,113,67,,Promotions / Appraisal
Indoco Remedies,3.6,1.1k,4,63,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Barclays Shared Services,3.9,1.1k,8,29,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Unichem Laboratories,3.9,1.1k,26,81,Job Security,Promotions / Appraisal
CIE Automotive,3.7,1.1k,26,71,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Bisleri,4.2,1.1k,13,75,"Job Security, Work Life Balance, Salary & Benefits",
TELUS International Philippines,3.8,1.1k,28,89,Work Life Balance,Promotions / Appraisal
Sharekhan,4.0,1.1k,12,72,"Work Life Balance, Company Culture",Promotions / Appraisal
Pristyn Care,3.9,1.1k,23,70,"Salary & Benefits, Skill Development / Learning, Company Culture",
QualityKiosk Technologies,3.5,1.1k,211,128,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Godrej Properties,3.7,1.1k,1,81,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
ZF Commercial Vehicle Control Systems,4.0,1.1k,--,34,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Capri Global Capital,3.6,1.1k,3,49,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Infinx,3.6,1.1k,29,97,,"Promotions / Appraisal, Salary & Benefits"
Jet Airways,4.6,1k,--,24,"Work Satisfaction, Skill Development / Learning, Company Culture",
Jakson Group,4.4,1k,8,72,"Company Culture, Skill Development / Learning, Work Life Balance",
Hitachi Astemo,4.1,1k,--,98,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Suryoday Small Finance Bank,4.0,1k,9,66,"Salary & Benefits, Skill Development / Learning, Company Culture",
Ocwen Financial Solutions,4.0,1k,10,48,"Work Life Balance, Company Culture",Promotions / Appraisal
Vfs Global Services,3.7,1k,10,54,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Steel Strips Wheels,3.7,1k,4,62,,"Company Culture, Work Life Balance, Promotions / Appraisal"
Indegene,3.5,1k,45,145,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Clover Infotech,3.6,1k,55,91,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Schindler,4.0,1k,13,69,"Skill Development / Learning, Salary & Benefits, Company Culture",
Provana,4.0,1k,26,79,"Company Culture, Skill Development / Learning, Work Life Balance",
Synchrony,4.3,1k,30,67,"Job Security, Company Culture, Work Life Balance",
Wheelseye Technology,3.7,1k,14,83,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Infogain,3.6,1k,122,110,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Kantar,3.5,1k,3,103,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Edelweiss,3.9,1k,26,56,Work Life Balance,Promotions / Appraisal
Cinépolis,4.0,1k,8,49,"Job Security, Company Culture, Skill Development / Learning",
Burger King,3.9,1k,5,67,"Skill Development / Learning, Salary & Benefits",
IndiaFirst Life Insurance,4.0,1k,--,55,Salary & Benefits,
SAI Life Sciences,3.9,1k,9,75,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
FOCUS EDUMATICS,3.3,1k,2,121,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Dixon Technologies,4.1,1k,6,97,"Job Security, Skill Development / Learning",
FastInfo,4.4,1k,10,38,"Skill Development / Learning, Company Culture, Work Life Balance",
EOSGlobe,3.1,1k,7,75,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
FDC,4.0,1k,1,47,Work Life Balance,Promotions / Appraisal
Amara Raja Energy & Mobility,4.2,1k,29,63,"Job Security, Work Life Balance, Skill Development / Learning",
Iffco Tokio General Insurance Co.,4.0,1k,10,36,"Job Security, Work Life Balance, Company Culture",
Northern Trust Operating Services,4.0,1k,68,100,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Fino Payments Bank,3.9,1k,31,45,,Promotions / Appraisal
Tata AutoComp Systems,3.9,1k,25,81,"Job Security, Skill Development / Learning",Promotions / Appraisal
Patanjali Foods,3.9,1k,3,50,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
BVG India,3.9,1k,21,41,Work Life Balance,Promotions / Appraisal
Morningstar,3.9,1k,59,234,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
ECIL,4.2,999,--,43,"Work Life Balance, Work Satisfaction, Company Culture",
Sansera Engineering,4.2,997,13,63,"Skill Development / Learning, Company Culture, Job Security",
ReNew,4.2,995,83,76,"Job Security, Company Culture, Skill Development / Learning",
VIBGYOR Group of Schools,3.7,993,96,63,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Continental Automotive Components,4.2,990,2,64,"Job Security, Work Life Balance, Company Culture",
SYSKA LED Lights,2.8,987,--,54,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Punjab National Bank,4.0,987,--,35,"Job Security, Salary & Benefits, Promotions / Appraisal",
IIFL SAMASTA,4.0,986,14,55,"Skill Development / Learning, Job Security, Salary & Benefits",
Apco Infratech,3.8,986,3,106,,"Company Culture, Job Security, Promotions / Appraisal"
Adobe,4.0,984,189,242,"Company Culture, Work Life Balance, Job Security",
Hinduja Leyland Finance,4.0,983,--,29,"Work Life Balance, Job Security",Promotions / Appraisal
Fidelity National Financial,3.8,983,2,48,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
NTT DATA Business Solutions,3.8,982,1,64,,Promotions / Appraisal
Oil And Natural Gas Corporation,4.3,981,--,69,"Work Life Balance, Job Security, Work Satisfaction",
AGS Transact Technologies,3.4,980,--,29,,"Promotions / Appraisal, Salary & Benefits, Job Security"
DCM Shriram,4.2,979,2,77,"Job Security, Company Culture, Work Life Balance",
Amneal Pharmaceuticals,4.2,978,4,60,"Work Life Balance, Job Security, Company Culture",
Wistron,3.9,977,--,80,Job Security,"Promotions / Appraisal, Salary & Benefits"
Urban Company,3.5,976,43,126,,"Job Security, Promotions / Appraisal, Work Life Balance"
Jaquar,4.0,975,1,52,"Job Security, Work Life Balance",Promotions / Appraisal
SKF,4.1,974,31,61,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Atul,3.9,971,--,74,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Eaton Corporation,4.0,969,29,108,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Vestas,4.3,969,44,79,"Company Culture, Work Life Balance, Skill Development / Learning",
Decathlon,3.9,969,62,96,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Work Life Balance"
Best Sellers,4.2,968,5,28,"Company Culture, Skill Development / Learning, Work Life Balance",
PNB Housing Finance,3.8,968,19,41,,Promotions / Appraisal
DENSO,4.2,966,1,66,"Job Security, Company Culture, Salary & Benefits",
The Jaypee Group,3.8,965,--,40,Job Security,"Promotions / Appraisal, Salary & Benefits"
Amazon Logistics,4.3,965,--,75,"Skill Development / Learning, Company Culture, Salary & Benefits",
Worley,4.1,963,393,100,"Work Life Balance, Company Culture, Job Security",
CreditAccess Grameen,4.2,963,2,34,"Company Culture, Job Security, Salary & Benefits",
Fresenius Kabi,4.2,962,54,38,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Sonata Software,3.5,962,50,106,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
iSON Xperiences,3.4,962,25,60,,"Promotions / Appraisal, Salary & Benefits, Job Security"
ManpowerGroup,3.9,961,9,48,Work Life Balance,"Promotions / Appraisal, Job Security"
Intel,4.3,961,41,209,"Work Life Balance, Company Culture, Work Satisfaction",
DISH TV,3.6,959,--,55,,"Promotions / Appraisal, Job Security, Work Satisfaction"
TE Connectivity,4.1,959,164,73,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Slk Software Services,3.4,956,201,83,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mondelez International,4.3,956,58,55,"Salary & Benefits, Company Culture, Job Security",
ANZ Banking Group,4.1,955,15,81,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
TUV SUD,3.9,953,29,54,,Promotions / Appraisal
R Systems International,3.3,953,23,104,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Saipem,4.1,952,1,42,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Luminous Power Technologies,4.2,950,19,60,"Work Life Balance, Job Security, Company Culture",
Sunknowledge Services,3.9,948,8,67,"Job Security, Skill Development / Learning, Work Satisfaction",
Tenneco,3.8,947,4,56,,"Promotions / Appraisal, Salary & Benefits, Job Security"
GEP Worldwide,3.8,947,6,122,Company Culture,"Promotions / Appraisal, Salary & Benefits"
Tata Electronics,4.0,947,--,133,Job Security,Promotions / Appraisal
Shriram Life Insurance,3.7,945,23,64,,"Promotions / Appraisal, Salary & Benefits"
OpenText Technologies,3.8,944,21,153,"Work Life Balance, Company Culture",Promotions / Appraisal
Medhaj Techno Concept,4.2,944,--,45,"Company Culture, Work Satisfaction, Skill Development / Learning",
Apexon,3.3,944,37,124,,"Promotions / Appraisal, Job Security, Salary & Benefits"
AIIMS,4.2,942,--,52,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",Promotions / Appraisal
Baazar Retail Private Limited,4.7,942,4,59,"Company Culture, Skill Development / Learning, Job Security",
V5 Global Services,3.9,941,1,58,,Promotions / Appraisal
iMerit,3.6,941,11,90,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Altimetrik,3.8,941,43,196,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
PharmEasy,3.8,939,7,77,,"Job Security, Promotions / Appraisal"
Bajaj Housing Finance,3.8,939,5,52,,"Work Life Balance, Company Culture, Work Satisfaction"
Acuity Knowledge Partners,3.4,936,84,130,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shriram Pistons & Rings,4.1,936,--,60,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
JSW Cement,4.1,935,--,96,"Job Security, Salary & Benefits, Company Culture",
Airtel Payments Bank,4.1,930,15,70,"Skill Development / Learning, Company Culture, Work Life Balance",
Brillio,3.4,927,36,118,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Happiest Minds Technologies,3.8,923,7,114,"Job Security, Work Life Balance",Promotions / Appraisal
Chetu,3.2,919,1,156,,"Job Security, Work Life Balance, Company Culture"
Aditya Birla Finance,3.9,917,5,40,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
RBL FinServe,4.1,912,--,46,"Salary & Benefits, Skill Development / Learning, Job Security",
Hatsun Agro Product,4.0,911,8,60,Skill Development / Learning,"Job Security, Promotions / Appraisal"
Wind World,3.9,911,2,69,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Shubham Housing Development Finance,3.9,909,8,32,"Skill Development / Learning, Salary & Benefits, Job Security",
Intertek,3.7,908,11,44,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Automotive Manufacturers,4.1,907,5,72,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Thyrocare Technologies,3.5,906,9,61,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Nippon Paint India,4.0,906,4,49,,
Godrej Consumer Products,4.2,905,--,42,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
GAIL,4.5,904,--,75,"Work Life Balance, Company Culture, Skill Development / Learning",
Zoho,4.3,903,--,461,"Job Security, Company Culture, Work Life Balance",
ACG Worldwide,4.0,903,23,60,"Job Security, Salary & Benefits",Promotions / Appraisal
Aircel,4.3,902,--,7,"Company Culture, Work Satisfaction, Skill Development / Learning",
Muthoot Microfin,4.4,902,4,31,"Skill Development / Learning, Company Culture, Work Life Balance",
Altisource,3.7,899,42,39,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
TEKsystems,3.5,899,10,110,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Aerial Telecom Solutions,4.4,898,24,40,"Work Life Balance, Work Satisfaction, Company Culture",
Kotak Mahindra Prime,4.0,897,2,45,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Nykaa,3.5,897,--,104,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Piaggio,3.6,896,13,53,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Karur Vysya Bank,3.7,894,23,64,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Sahara India Pariwar,3.8,892,1,24,,"Promotions / Appraisal, Salary & Benefits"
More Supermarket,3.8,891,--,67,,Promotions / Appraisal
MedPlus,3.6,890,21,73,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Podar International School,4.2,889,9,61,"Skill Development / Learning, Job Security, Company Culture",
Qualcomm,3.9,888,112,257,Salary & Benefits,
Spencer's Retail,3.8,887,5,44,,Promotions / Appraisal
Johnson Lifts,4.0,886,--,37,"Job Security, Work Life Balance",
Bajaj Motors,3.9,886,--,48,Skill Development / Learning,Promotions / Appraisal
Coca-Cola Company,4.3,886,--,83,"Skill Development / Learning, Company Culture, Salary & Benefits",
Ion Exchange India,3.8,885,32,57,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Nexa,4.0,884,--,32,Skill Development / Learning,
Mu Sigma,2.7,884,--,213,,"Work Life Balance, Job Security, Company Culture"
Karma Ayurveda,4.5,883,--,5,"Work Life Balance, Skill Development / Learning, Promotions / Appraisal",
Samsung Research,3.3,883,--,117,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Atos Global IT Solutions And Services,4.0,880,34,71,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Nielsen,3.7,879,--,108,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Zydus Wellness,4.2,879,13,67,"Salary & Benefits, Company Culture, Work Life Balance",
Bharat Sanchar Nigam,4.0,878,--,36,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal
Episource,3.8,878,--,220,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Novo Nordisk,4.1,877,40,78,"Job Security, Company Culture, Work Life Balance",
PNC Infratech,3.9,877,3,54,Job Security,Promotions / Appraisal
Kirloskar Oil Engines,4.2,876,--,46,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Fidelity Investments,4.3,871,1,92,"Work Life Balance, Job Security, Company Culture",
Dhoot Transmission,3.7,870,8,50,,"Salary & Benefits, Promotions / Appraisal, Job Security"
Incedo,3.3,870,21,159,,"Promotions / Appraisal, Work Satisfaction, Job Security"
H.G. Infra Engineering,4.3,870,11,70,"Skill Development / Learning, Salary & Benefits, Company Culture",
PayPal,3.9,869,97,196,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Jacobs Engineering Group,4.1,869,10,68,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
The Ramco Cements,4.2,868,--,50,"Job Security, Company Culture, Work Life Balance",
Parexel International,3.9,867,11,71,"Job Security, Company Culture",Promotions / Appraisal
NielsenIQ,3.9,867,43,154,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Rockman Industries,3.9,866,5,73,,
Kinara Capital,4.5,866,30,58,"Company Culture, Skill Development / Learning, Work Life Balance",
Aarvee Associates,4.0,864,2,68,Work Life Balance,Promotions / Appraisal
JW Marriott,4.1,862,--,39,"Job Security, Skill Development / Learning, Company Culture",
